model_name,num_epochs,strategy,learning_rate,weight_decay,batch_size,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
answerdotai/ModernBERT-base,20,epoch,5e-05,0.0,16,2.1293439865112305,0.8009950248756219,0.7470881863560732,0.903420523138833,0.8178506375227687,2.3935,419.896,26.322,7.0
answerdotai/ModernBERT-base,20,epoch,5e-05,0.0,32,0.39402636885643,0.8258706467661692,0.8340248962655602,0.8088531187122736,0.8212461695607763,1.4069,714.314,22.744,4.0
answerdotai/ModernBERT-base,20,epoch,5e-05,0.0,64,0.4131694436073303,0.8069651741293532,0.851508120649652,0.738430583501006,0.790948275862069,0.7524,1335.79,21.266,4.0
answerdotai/ModernBERT-base,20,epoch,5e-05,0.0,16,0.8243097066879272,0.7950248756218905,0.7584369449378331,0.8591549295774648,0.8056603773584906,2.3097,435.13,27.277,5.0
answerdotai/ModernBERT-base,20,epoch,5e-05,0.0,32,0.405190110206604,0.8169154228855722,0.822680412371134,0.8028169014084507,0.8126272912423625,1.2574,799.288,25.45,3.0
answerdotai/ModernBERT-base,20,epoch,5e-05,0.0,64,0.4503242075443268,0.7830845771144279,0.7627118644067796,0.8148893360160966,0.7879377431906615,0.7335,1370.173,21.814,3.0
answerdotai/ModernBERT-base,20,epoch,5e-05,0.01,16,1.999367594718933,0.8318407960199005,0.8360655737704918,0.8209255533199196,0.8284263959390863,2.4657,407.6,25.551,9.0
answerdotai/ModernBERT-base,20,epoch,5e-05,0.01,32,0.4192923307418823,0.8119402985074626,0.7905660377358491,0.8430583501006036,0.815968841285297,1.2908,778.576,24.79,3.0
answerdotai/ModernBERT-base,20,epoch,5e-05,0.01,64,0.5093991756439209,0.7542288557213931,0.691131498470948,0.909456740442656,0.7854039965247611,0.7657,1312.581,20.897,3.0
answerdotai/ModernBERT-base,20,epoch,5e-05,0.001,16,1.884566187858581,0.8308457711442786,0.807909604519774,0.8631790744466801,0.8346303501945526,2.307,435.631,27.308,8.0
answerdotai/ModernBERT-base,20,epoch,5e-05,0.001,32,0.4621556103229522,0.8228855721393035,0.8061420345489443,0.8450704225352113,0.825147347740668,1.3,773.058,24.615,4.0
answerdotai/ModernBERT-base,20,epoch,5e-05,0.001,64,0.4187948703765869,0.8129353233830846,0.7834862385321101,0.8591549295774648,0.8195777351247601,0.7481,1343.373,21.387,4.0
answerdotai/ModernBERT-base,20,epoch,3e-05,0.0,16,1.4345284700393677,0.8388059701492537,0.8356713426853707,0.8390342052313883,0.8373493975903614,2.4542,409.497,25.67,11.0
answerdotai/ModernBERT-base,20,epoch,3e-05,0.0,32,0.4808242321014404,0.7910447761194029,0.8688946015424165,0.6800804828973843,0.7629796839729119,1.2733,789.308,25.132,4.0
answerdotai/ModernBERT-base,20,epoch,3e-05,0.0,64,0.8376213312149048,0.7980099502487562,0.7722222222222223,0.8390342052313883,0.8042430086788814,0.759,1324.047,21.079,6.0
answerdotai/ModernBERT-base,20,epoch,3e-05,0.01,16,0.396874725818634,0.8248756218905473,0.8309278350515464,0.8108651911468813,0.8207739307535642,3.5826,280.524,17.585,4.0
answerdotai/ModernBERT-base,20,epoch,3e-05,0.01,32,1.2044671773910522,0.8208955223880597,0.8113948919449901,0.8309859154929577,0.8210735586481114,1.331,755.09,24.043,6.0
answerdotai/ModernBERT-base,20,epoch,3e-05,0.01,64,0.4375790059566498,0.808955223880597,0.7689594356261023,0.8772635814889336,0.8195488721804511,0.8147,1233.568,19.639,4.0
answerdotai/ModernBERT-base,20,epoch,3e-05,0.001,16,1.3497565984725952,0.8208955223880597,0.8350951374207188,0.7947686116700201,0.8144329896907216,2.3751,423.134,26.525,6.0
answerdotai/ModernBERT-base,20,epoch,3e-05,0.001,32,1.0584766864776611,0.817910447761194,0.806640625,0.8309859154929577,0.8186323092170465,1.3113,766.416,24.403,6.0
answerdotai/ModernBERT-base,20,epoch,3e-05,0.001,64,0.5001518726348877,0.7582089552238805,0.7159863945578231,0.8470824949698189,0.776036866359447,0.7539,1333.035,21.222,3.0
answerdotai/ModernBERT-base,20,epoch,2e-05,0.0,16,1.4604589939117432,0.8049751243781095,0.8077709611451943,0.7947686116700201,0.8012170385395537,2.3118,434.725,27.251,6.0
answerdotai/ModernBERT-base,20,epoch,2e-05,0.0,32,1.1739704608917236,0.7970149253731343,0.777988614800759,0.8249496981891348,0.80078125,1.3255,758.207,24.142,7.0
answerdotai/ModernBERT-base,20,epoch,2e-05,0.0,64,0.5125114321708679,0.8159203980099502,0.8319148936170213,0.7867203219315896,0.8086866597724922,0.8532,1177.979,18.754,6.0
answerdotai/ModernBERT-base,20,epoch,2e-05,0.01,16,0.9501867890357972,0.8328358208955224,0.8051948051948052,0.8732394366197183,0.8378378378378378,2.4348,412.768,25.875,5.0
answerdotai/ModernBERT-base,20,epoch,2e-05,0.01,32,0.4632338285446167,0.7820895522388059,0.7464539007092199,0.8470824949698189,0.7935909519321395,1.389,723.54,23.038,3.0
answerdotai/ModernBERT-base,20,epoch,2e-05,0.01,64,0.5162760019302368,0.7442786069651741,0.7307692307692307,0.7645875251509054,0.7472959685349065,0.7848,1280.578,20.387,3.0
answerdotai/ModernBERT-base,20,epoch,2e-05,0.001,16,0.4262828230857849,0.8019900497512438,0.8239130434782609,0.7625754527162978,0.7920585161964472,2.4239,414.627,25.992,3.0
answerdotai/ModernBERT-base,20,epoch,2e-05,0.001,32,0.4268220067024231,0.7930348258706468,0.821826280623608,0.7424547283702213,0.7801268498942917,1.3288,756.318,24.082,4.0
answerdotai/ModernBERT-base,20,epoch,2e-05,0.001,64,0.4873273372650146,0.7592039800995025,0.717948717948718,0.8450704225352113,0.7763401109057301,0.7308,1375.28,21.895,4.0
answerdotai/ModernBERT-base,20,epoch,1e-05,0.0,16,0.8312510848045349,0.7880597014925373,0.7491228070175439,0.8591549295774648,0.8003748828491096,2.4189,415.483,26.045,6.0
answerdotai/ModernBERT-base,20,epoch,1e-05,0.0,32,0.6014508008956909,0.7701492537313432,0.7435897435897436,0.8169014084507042,0.7785234899328859,1.2916,778.109,24.776,6.0
answerdotai/ModernBERT-base,20,epoch,1e-05,0.0,64,0.4756193459033966,0.8099502487562189,0.8135245901639344,0.7987927565392354,0.8060913705583757,0.7588,1324.437,21.086,6.0
answerdotai/ModernBERT-base,20,epoch,1e-05,0.01,16,0.5185034275054932,0.8189054726368159,0.8082191780821918,0.8309859154929577,0.8194444444444444,2.4825,404.828,25.377,5.0
answerdotai/ModernBERT-base,20,epoch,1e-05,0.01,32,0.6027495861053467,0.6756218905472637,0.6189151599443672,0.8953722334004024,0.7319078947368421,1.2782,786.248,25.035,3.0
answerdotai/ModernBERT-base,20,epoch,1e-05,0.01,64,0.5818596482276917,0.6855721393034826,0.6462035541195477,0.8048289738430584,0.7168458781362007,0.7574,1326.959,21.126,3.0
answerdotai/ModernBERT-base,20,epoch,1e-05,0.001,16,0.8901539444923401,0.8009950248756219,0.7928994082840237,0.8088531187122736,0.8007968127490039,2.3975,419.181,26.277,6.0
answerdotai/ModernBERT-base,20,epoch,1e-05,0.001,32,0.5901005268096924,0.6855721393034826,0.6317321688500728,0.8732394366197183,0.7331081081081081,1.2919,777.915,24.769,3.0
answerdotai/ModernBERT-base,20,epoch,1e-05,0.001,64,0.5081228017807007,0.7840796019900498,0.8043478260869565,0.744466800804829,0.7732497387669801,0.7472,1345.091,21.414,7.0
answerdotai/ModernBERT-base,20,epoch,0.0001,0.0,16,0.4627095758914947,0.7860696517412935,0.7288961038961039,0.903420523138833,0.8068283917340521,3.8968,257.904,16.167,3.0
answerdotai/ModernBERT-base,20,epoch,0.0001,0.0,32,1.0758134126663208,0.8039800995024876,0.7542372881355932,0.8953722334004024,0.8187672493100276,1.2909,778.522,24.789,7.0
answerdotai/ModernBERT-base,20,epoch,0.0001,0.0,64,0.451118916273117,0.7970149253731343,0.7453936348408711,0.8953722334004024,0.8135283363802559,0.7393,1359.315,21.641,3.0
answerdotai/ModernBERT-base,20,epoch,0.0001,0.01,16,1.0638377666473389,0.8218905472636816,0.8011363636363636,0.8511066398390342,0.8253658536585365,2.4174,415.737,26.061,5.0
answerdotai/ModernBERT-base,20,epoch,0.0001,0.01,32,0.7761026620864868,0.7671641791044777,0.6959761549925484,0.9396378269617708,0.7996575342465754,1.3126,765.662,24.379,5.0
answerdotai/ModernBERT-base,20,epoch,0.0001,0.01,64,0.3934927880764007,0.8258706467661692,0.8181818181818182,0.8329979879275654,0.8255234297108675,0.78,1288.479,20.513,3.0
answerdotai/ModernBERT-base,20,epoch,0.0001,0.001,16,0.5748324394226074,0.8149253731343283,0.8219461697722568,0.7987927565392354,0.810204081632653,2.3596,425.915,26.699,4.0
answerdotai/ModernBERT-base,20,epoch,0.0001,0.001,32,1.1349526643753052,0.7791044776119403,0.7541589648798521,0.8209255533199196,0.7861271676300579,1.3124,765.75,24.382,7.0
answerdotai/ModernBERT-base,20,epoch,0.0001,0.001,64,1.671721577644348,0.7800995024875622,0.73,0.8812877263581489,0.7985414767547858,0.7385,1360.884,21.666,9.0
answerdotai/ModernBERT-base,20,epoch,0.001,0.0,16,0.7100016474723816,0.7343283582089553,0.6916666666666667,0.8350100603621731,0.7566089334548769,2.6194,383.672,24.051,5.0
answerdotai/ModernBERT-base,20,epoch,0.001,0.0,32,0.538575291633606,0.7213930348258707,0.6583941605839416,0.9074446680080482,0.7631133671742809,1.2807,784.741,24.987,3.0
answerdotai/ModernBERT-base,20,epoch,0.001,0.0,64,0.7274940609931946,0.7303482587064677,0.6828478964401294,0.8490945674044266,0.7569506726457399,0.757,1327.61,21.136,6.0
answerdotai/ModernBERT-base,20,epoch,0.001,0.01,16,0.7200610637664795,0.7323383084577114,0.7209302325581395,0.7484909456740443,0.7344521224086871,2.3655,424.863,26.633,5.0
