model_name,num_epochs,strategy,learning_rate,weight_decay,batch_size,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
bert-base-uncased,10,epoch,5e-05,0.0,16,0.7834917902946472,0.7910447761194029,0.7387687188019967,0.8933601609657947,0.8087431693989071,1.1478,875.57,54.886,5.0
bert-base-uncased,10,epoch,5e-05,0.0,32,0.4183102548122406,0.8119402985074626,0.7972972972972973,0.8309859154929577,0.8137931034482758,0.7488,1342.076,42.733,3.0
bert-base-uncased,10,epoch,5e-05,0.0,16,0.7834917902946472,0.7910447761194029,0.7387687188019967,0.8933601609657947,0.8087431693989071,1.1644,863.131,54.107,5.0
bert-base-uncased,10,epoch,5e-05,0.0,32,0.4183102548122406,0.8119402985074626,0.7972972972972973,0.8309859154929577,0.8137931034482758,0.7502,1339.685,42.657,3.0
bert-base-uncased,10,epoch,5e-05,0.0,64,0.44380810856819153,0.7900497512437811,0.7526501766784452,0.8571428571428571,0.8015051740357478,0.5559,1807.987,28.784,3.0
bert-base-uncased,10,epoch,5e-05,0.01,16,0.6573847532272339,0.8208955223880597,0.8241308793456033,0.8108651911468813,0.8174442190669371,1.2191,824.404,51.679,5.0
bert-base-uncased,10,epoch,5e-05,0.01,32,0.441020667552948,0.7960199004975125,0.737012987012987,0.9134808853118712,0.8158131176999102,0.7404,1357.37,43.22,3.0
bert-base-uncased,10,epoch,5e-05,0.01,64,0.39625853300094604,0.8159203980099502,0.8170731707317073,0.8088531187122736,0.8129423660262892,0.5654,1777.521,28.299,4.0
bert-base-uncased,10,epoch,5e-05,0.001,16,0.4902136027812958,0.8099502487562189,0.8241525423728814,0.7826961770623743,0.8028895768833849,1.1206,896.819,56.218,4.0
bert-base-uncased,10,epoch,5e-05,0.001,32,0.4431198835372925,0.8258706467661692,0.8709677419354839,0.7605633802816901,0.8120300751879699,0.7559,1329.612,42.336,4.0
bert-base-uncased,10,epoch,5e-05,0.001,64,0.4308260977268219,0.7970149253731343,0.7583774250440917,0.8651911468812877,0.8082706766917294,0.5853,1717.189,27.338,3.0
bert-base-uncased,10,epoch,3e-05,0.0,16,0.4451286196708679,0.8149253731343283,0.8542141230068337,0.7545271629778671,0.8012820512820513,1.1198,897.467,56.259,4.0
bert-base-uncased,10,epoch,3e-05,0.0,32,0.4482923448085785,0.7910447761194029,0.7585585585585586,0.8470824949698189,0.8003802281368821,0.7576,1326.631,42.241,3.0
bert-base-uncased,10,epoch,3e-05,0.0,64,0.715475857257843,0.8,0.7642857142857142,0.8611670020120724,0.8098391674550615,0.5668,1773.175,28.23,6.0
bert-base-uncased,10,epoch,3e-05,0.01,16,1.3592675924301147,0.808955223880597,0.797270955165692,0.8229376257545271,0.80990099009901,1.1967,839.801,52.644,9.0
bert-base-uncased,10,epoch,3e-05,0.01,32,0.43561071157455444,0.7950248756218905,0.7437185929648241,0.8933601609657947,0.8117001828153565,0.7174,1400.837,44.604,3.0
bert-base-uncased,10,epoch,3e-05,0.01,64,0.4214121401309967,0.8019900497512438,0.8078512396694215,0.7867203219315896,0.7971457696228338,0.5637,1782.958,28.385,4.0
bert-base-uncased,10,epoch,3e-05,0.001,16,0.4646075665950775,0.8189054726368159,0.8194726166328601,0.8128772635814889,0.8161616161616162,1.1827,849.763,53.269,4.0
bert-base-uncased,10,epoch,3e-05,0.001,32,0.5812032222747803,0.7920398009950249,0.7637362637362637,0.8390342052313883,0.7996164908916586,0.7725,1300.909,41.422,5.0
bert-base-uncased,10,epoch,3e-05,0.001,64,0.5546211004257202,0.8119402985074626,0.7996108949416343,0.8269617706237424,0.8130563798219584,0.5625,1786.781,28.446,6.0
bert-base-uncased,10,epoch,2e-05,0.0,16,0.6974565386772156,0.817910447761194,0.8191056910569106,0.8108651911468813,0.8149646107178968,1.2072,832.534,52.189,5.0
bert-base-uncased,10,epoch,2e-05,0.0,32,0.4908912479877472,0.7701492537313432,0.7180327868852459,0.8812877263581489,0.7913279132791328,0.7612,1320.227,42.037,3.0
bert-base-uncased,10,epoch,2e-05,0.0,64,0.543479859828949,0.8079601990049752,0.7724014336917563,0.8672032193158954,0.8170616113744076,0.5981,1680.271,26.751,7.0
bert-base-uncased,10,epoch,2e-05,0.01,16,1.1929070949554443,0.8119402985074626,0.7905660377358491,0.8430583501006036,0.815968841285297,1.1817,850.497,53.315,8.0
